Penumpang
352305
301557
326821
321217
327636
319956
369813
306841
335262
329250
324123
375188
349683
319229
337829
335728
323353
400119
368267
336398
328315
339787
358694
401669
301994
281299
308105
300338
262543
327334
292011
269541
255114
267757
271267
303405
374829
333635
250896
39592
10213
19490
34410
52957
71082
87119
104783
143125
162234
162476
179552
171791
126672
126259
51969
20372
29212
57372
78399
106558
122227
108431
155222
141465
130529
